,bed,bath,sqft,type,lanudry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,link
https://sfbay.craigslist.org/sby/apa/d/4br-25ba-updated-endunit/6567539635.html,4BR , 2.5Ba,1800ft2,townhouse,5,5,0,0,0,1,0,4,227,https://sfbay.craigslist.org/sby/apa/d/4br-25ba-updated-endunit/6567539635.html
https://sfbay.craigslist.org/sby/apa/d/4th-floor-corner-home-with/6557991765.html,1BR , 1Ba,737ft2,apartment,5,5,1,1,0,1,1,20,327,https://sfbay.craigslist.org/sby/apa/d/4th-floor-corner-home-with/6557991765.html
https://sfbay.craigslist.org/sby/apa/d/5-bedroom-35-bath-with-2/6567764469.html,5BR , 3.5Ba,2200ft2,house,5,6,0,0,0,1,0,11,212,https://sfbay.craigslist.org/sby/apa/d/5-bedroom-35-bath-with-2/6567764469.html
https://sfbay.craigslist.org/sby/apa/d/500-off-1st-month-2-bed-1/6567403835.html,2BR , 1Ba,935ft2,apartment,5,4,1,0,0,0,0,7,132,https://sfbay.craigslist.org/sby/apa/d/500-off-1st-month-2-bed-1/6567403835.html
https://sfbay.craigslist.org/sby/apa/d/500-off-1st-month-2-bed-1/6567502074.html,2BR , 1Ba,935ft2,apartment,5,4,1,0,0,0,0,2,132,https://sfbay.craigslist.org/sby/apa/d/500-off-1st-month-2-bed-1/6567502074.html
https://sfbay.craigslist.org/sby/apa/d/500-off-1st-months-rent-2-bed/6567407881.html,2BR , 2Ba,1082ft2,apartment,5,4,1,0,0,0,0,20,132,https://sfbay.craigslist.org/sby/apa/d/500-off-1st-months-rent-2-bed/6567407881.html
https://sfbay.craigslist.org/sby/apa/d/500-off-1st-months-rent-2-bed/6567514653.html,2BR , 2Ba,1082ft2,apartment,5,4,1,0,0,0,0,20,134,https://sfbay.craigslist.org/sby/apa/d/500-off-1st-months-rent-2-bed/6567514653.html
https://sfbay.craigslist.org/sby/apa/d/500-off-2-bedroom-1-bathroom/6562560855.html,2BR , 1Ba,800ft2,apartment,2,4,1,0,0,0,0,10,265,https://sfbay.craigslist.org/sby/apa/d/500-off-2-bedroom-1-bathroom/6562560855.html
https://sfbay.craigslist.org/sby/apa/d/500-off-2-bedroombath/6562569787.html,2BR , 2.5Ba,1277ft2,townhouse,5,4,1,0,0,0,0,12,281,https://sfbay.craigslist.org/sby/apa/d/500-off-2-bedroombath/6562569787.html
https://sfbay.craigslist.org/sby/apa/d/649-blythe-ct-apt-nice/6564211037.html,1BR , 1Ba,700ft2,apartment,2,4,0,0,0,0,0,9,124,https://sfbay.craigslist.org/sby/apa/d/649-blythe-ct-apt-nice/6564211037.html
