,title,link,hood,price,bed,bath,sqft,type,laundry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,region
81,Adj to Beautiful Park Intel Apple This place will feel like home Dogs OK br1,https://sfbay.craigslist.org/sby/apa/d/adj-to-beautiful-park-intel/6567702556.html,(sunnyvale),1830,1,1.0,483.0,apartment,4,2,1,1,0,0,0,16,87,0
82,"2.5 bath, Townhouse, HW floors, New Appliances, A/c; Cupertino School",https://sfbay.craigslist.org/sby/apa/d/25-bath-townhouse-hw-floors/6562742596.html,(cupertino),3400,3,2.5,1305.0,condo,3,4,0,0,0,1,0,9,71,0
83,Grand 2 Bedroom 2 Bath w/ Large Patio Available Here For You!,https://sfbay.craigslist.org/sby/apa/d/grand-2-bedroom-2-bath-large/6567719955.html,(sunnyvale),4424,2,2.0,1187.0,apartment,5,6,1,1,0,1,1,8,218,0
84,"1 Bed - 1 Bath, Pet-Friendly and ready to move-in today!!!!!",https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-pet-friendly-and/6565733181.html,,2190,1,1.0,665.0,apartment,4,4,1,1,0,1,0,9,167,0
85,1x1 Now Available Steps From Downtown Mountain View! Tour Today!,https://sfbay.craigslist.org/sby/apa/d/1x1-now-available-steps-from/6567718751.html,(mountain view),4274,1,1.0,900.0,apartment,5,6,1,1,0,1,1,11,164,0
86,"new dual pane windows, and convenient separate laundry room. Relax or",https://sfbay.craigslist.org/sby/apa/d/new-dual-pane-windows-and/6567707257.html,"(SAN JOSE, CA)",3050,4,2.5,1987.0,house,4,6,1,1,0,0,0,10,52,0
87,"Walk Friendly!  Charming, Quiet Neighborhood",https://sfbay.craigslist.org/sby/apa/d/walk-friendly-charming-quiet/6567718321.html,(sunnyvale),2145,1,1.0,615.0,apartment,4,4,1,0,0,1,0,3,245,0
88,First Floor 1b|1b in Beautiful Downtown San Jose! Call Today To Tour!,https://sfbay.craigslist.org/sby/apa/d/first-floor-1b1b-in-beautiful/6567715071.html,(san jose downtown),2435,1,1.0,728.0,apartment,5,0,1,1,0,1,0,24,445,0
89,Beautiful Apartment for Rent in Downtown San Jose,https://sfbay.craigslist.org/sby/apa/d/beautiful-apartment-for-rent/6567714730.html,(san jose downtown),1475,0,1.0,,apartment,2,0,0,0,0,1,0,3,143,0
90,1x1 Town House Downstairs/ Private Patio & Private Garage -Open Now,https://sfbay.craigslist.org/sby/apa/d/1x1-town-house-downstairs/6561476874.html,(cupertino),2495,1,1.0,770.0,townhouse,2,6,0,0,0,1,0,10,156,0
